file,version,engine,date,n,wr,avg_pnl,cum,avg_rr,sl_rate,by_year,decision,error
E:\test\smc_project\hermes\smc_opt_v85_mixed_accumulation_generator\v85_report.json,85.,V85_MIXED_ACCUMULATION_GENERATOR,,23307,64.47,0.5595,13041.06,,,"2016:n=1,wr=0.0,avg=-3.49; 2017:n=2,wr=100.0,avg=1.51; 2022:n=1,wr=0.0,avg=-1.85; 2023:n=3693,wr=61.4,avg=0.17; 2024:n=4613,wr=64.2,avg=0.79; 2025:n=10578,wr=65.7,avg=0.64; 2026:n=4419,wr=64.2,avg=0.46",,
E:\test\smc_project\hermes\smc_opt_v85_production_gate\v85_production_report.json,85.,V85_PRODUCTION_GATE,,559,89.09,2.7117,1515.85,,,"2023:n=110,wr=86.4,avg=2.20; 2024:n=132,wr=88.6,avg=2.55; 2025:n=233,wr=90.6,avg=2.95; 2026:n=84,wr=89.3,avg=2.99",,
E:\test\smc_project\hermes\smc_opt_v86_production_gate\v86_production_report.json,86.,V86_PRODUCTION_GATE,,532,89.85,2.6845,1428.15,,,"2023:n=108,wr=87.0,avg=2.23; 2024:n=123,wr=89.4,avg=2.51; 2025:n=223,wr=91.0,avg=2.89; 2026:n=78,wr=91.0,avg=3.00",,
E:\test\smc_project\hermes\smc_opt_v87_mtf_entry_rr_matrix\v87_matrix_report.json,87.,V87_MTF_ENTRY_RR_MATRIX,,20908,78.69,1.9326,40407.04,1.8159,,"2023:n=3632,wr=70.8,avg=0.93; 2024:n=4144,wr=84.2,avg=2.18; 2025:n=8396,wr=80.3,avg=2.15; 2026:n=4736,wr=76.9,avg=2.10",,
E:\test\smc_project\hermes\smc_opt_v88_production_contract\v88_production_report.json,88.,V88_PRODUCTION_CONTRACT,,532,80.08,2.836,1508.76,2.9771,16.35,"2023:n=108,wr=74.1,avg=2.01; 2024:n=123,wr=82.1,avg=3.01; 2025:n=223,wr=82.1,avg=3.13; 2026:n=78,wr=79.5,avg=2.85",,
E:\test\smc_project\hermes\smc_opt_v89_recovery_known_target\v89_summary_report.json,89.,V89_RECOVERY_KNOWN_TARGET_RESEARCH,,,,,,,,,,no metrics block
E:\test\smc_project\hermes\smc_opt_v90_daily_full_market_scanner\v90_3y_v86_gate_known_bsl_report.json,90.,V90_3Y_AUDIT_V86_GATE_KNOWN_BSL,,532,83.65,2.8689,1526.26,1.632,0.0,"2023:n=106,wr=86.8,avg=2.19; 2024:n=123,wr=89.4,avg=2.51; 2025:n=223,wr=91.0,avg=2.89; 2026:n=78,wr=91.0,avg=3.00",FOUND_PRODUCTION_CANDIDATE_MEETING_90WR_AND_SAMPLE_GATE,
E:\test\smc_project\hermes\smc_opt_v90_daily_full_market_scanner\v90_3y_v86_gate_known_bsl_rows.json,90.,,,,,,,,,,,not dict
E:\test\smc_project\hermes\smc_opt_v90_daily_full_market_scanner\v90_daily_scan_report.json,90.,V90_DAILY_SCANNER_V88_CONTRACT,,,,,,,,,,no metrics block
E:\test\smc_project\hermes\smc_opt_v91_mtf_entry_position_audit\v91_mtf_entry_position_report.json,91.,V91_MTF_ENTRY_POSITION_AUDIT,,186350,77.07,1.1602,,1.817,20.9,,,
