symbol,entry_date,src,net_pnl_pct,eq_near_active,eqh_active_n,eql_active_n,eq_conflu
300546.SZ,20240227,EVENT,6.7498,False,0,0,False
300686.SZ,20240227,EVENT,17.1515,False,0,0,False
301123.SZ,20240227,EVENT,2.6704,False,0,0,False
301397.SZ,20240227,EVENT,1.0718,False,0,0,False
688032.SH,20240227,EVENT,3.677,False,0,0,False
688133.SH,20240227,EVENT,-0.4033,False,0,0,False
001360.SZ,20240228,EVENT,-2.1919,False,0,0,False
002671.SZ,20240228,EVENT,-1.2848,False,0,0,False
300405.SZ,20240228,EVENT,-3.0843,False,0,0,False
300447.SZ,20240228,EVENT,2.8389,False,0,0,False
300538.SZ,20240228,EVENT,1.0742,False,0,0,False
300836.SZ,20240228,EVENT,16.0811,False,0,0,False
603626.SH,20240228,EVENT,1.6097,False,0,0,False
605018.SH,20240228,EVENT,-1.6595,False,0,0,False
688317.SH,20240228,EVENT,-5.7835,False,0,0,False
688593.SH,20240228,EVENT,-6.1208,False,0,0,False
001299.SZ,20240229,EVENT,16.8977,False,0,0,False
002769.SZ,20240229,EVENT,7.8543,False,0,0,False
002899.SZ,20240229,EVENT,16.5072,False,0,0,False
300166.SZ,20240229,EVENT,9.7566,False,0,0,False
301125.SZ,20240229,EVENT,35.596,False,0,0,False
301130.SZ,20240229,EVENT,17.5159,False,0,0,False
301362.SZ,20240229,EVENT,12.3873,False,0,0,False
600543.SH,20240229,EVENT,13.9448,False,0,0,False
688081.SH,20240229,EVENT,11.7186,False,0,0,False
688362.SH,20240229,EVENT,9.4656,False,0,0,False
688536.SH,20240229,EVENT,2.4739,False,0,0,False
688610.SH,20240229,EVENT,26.1724,False,0,0,False
688630.SH,20240229,EVENT,4.0402,False,0,0,False
688018.SH,20240201,EVENT,-3.0171,False,0,0,False
688069.SH,20240201,EVENT,-8.9829,False,0,0,False
688072.SH,20240201,EVENT,-0.8688,False,0,0,False
688281.SH,20240201,EVENT,-1.1339,False,0,0,False
