symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
002440.SZ,20240809,EVENT,-3.5792,5.517,4.674,0.042,s1v2_CHoCH↑;s7v2_up;s8_sweep_bear;s6x1;s14
300687.SZ,20240809,EVENT,-2.0362,13.48,12.104,0.198,s17;s8_sweep_bear;s5;s14
301260.SZ,20240809,EVENT,-4.1657,15.28,12.076,0.0416,s24_eql_risk;s17;s12_in_ote;s5;s6x3;s14
688707.SH,20240809,EVENT,-1.7012,9.58,7.818,0.14,s15;s10_in_ob;s6x1;s14
300071.SZ,20240812,EVENT,5.5367,2.36,1.761,0.07,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s14
601969.SH,20240812,EVENT,-4.1915,6.261,5.263,0.1294,s17;s10_in_ob;s12_in_ote;s5;s6x1;s14
688598.SH,20240812,EVENT,-3.1823,17.29,15.658,0.0126,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s5;s14
600653.SH,20240814,EVENT,-7.5453,1.45,1.137,0.168,s7v2_up;s9_bsl_tight;s10_in_ob;s6x3;s14
300481.SZ,20240815,EVENT,-2.7073,12.863,11.423,0.231,s17;s5;s6x1;s14
300820.SZ,20240816,EVENT,0.9703,44.325,32.839,0.0206,s7v2_up;s21;s8_sweep_bear;s9_bsl_tight;s12_in_ote;s6x1;s14
688496.SH,20240816,EVENT,-9.0387,8.55,7.054,0.385,s17;s6x1;s14
688426.SH,20240819,EVENT,-5.8251,27.58,14.04,0.0171,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s13;s14
301093.SZ,20240820,EVENT,7.4717,12.271,9.765,0.024,s1v2_CHoCH↑;s7v2_up;s19;s9_bsl_tight;s12_in_ote;s6x1
002955.SZ,20240805,EVENT,10.2047,22.497,17.416,0.14,s15;s10_in_ob;s12_in_ote;s14
605168.SH,20240805,EVENT,-0.1237,23.7,20.869,0.2,s15;s10_in_ob;s14
003023.SZ,20240807,EVENT,-0.4134,15.46,13.867,0.0096,s1v2_CHoCH↓;s20;s15;s9_bsl_tight;s10_in_ob;s12_in_ote;s6x1;s14
301260.SZ,20240807,EVENT,-4.4043,15.5,12.046,0.231,s17;s12_in_ote;s5;s14
600810.SH,20240807,EVENT,-1.7589,6.342,5.517,0.175,s15;s6x1;s14
688078.SH,20240807,EVENT,1.8016,24.934,19.38,0.175,s15;s6x1;s14
002058.SZ,20240808,EVENT,-5.3696,9.55,6.515,0.0171,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s6x1;s14
300801.SZ,20240808,EVENT,-6.1345,14.984,13.184,0.231,s17;s5;s6x1;s14
300376.SZ,20240812,EVENT,-3.2884,2.887,2.496,0.168,s10_in_ob;s12_in_ote;s5;s14
301115.SZ,20240812,EVENT,8.637,13.84,12.043,0.12,s15;s10_in_ob;s5;s14
603201.SH,20240812,EVENT,-4.7656,12.103,10.792,0.1848,s17;s10_in_ob;s5;s6x1;s14
002219.SZ,20240821,EVENT,1.1811,2.39,1.595,0.049,s1v2_CHoCH↑;s7v2_up;s19;s6x1
603566.SH,20240821,EVENT,-3.0096,11.957,10.438,0.462,s17;s5;s6x1
600143.SH,20240822,EVENT,2.2217,6.642,5.397,0.0206,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s6x1
603312.SH,20240826,EVENT,8.9924,27.24,24.481,0.0123,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s9_bsl_tight;s5;s6x1
301529.SZ,20240830,EVENT,8.5205,23.797,18.609,0.385,s17;s6x1;s14
000908_SZ.SZ,20240815,CONT,62.6906,,,0.0019,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s5;s14
000878.SZ,20240807,EVENT,-1.4033,13.23,10.661,0.084,s10_in_ob;s4;s5;s6x1;s14
688163.SH,20240819,EVENT,3.5109,13.22,10.994,0.0245,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s4;s6x1;s14
688089.SH,20240822,EVENT,0.6818,16.18,13.457,0.0343,s7v2_up;s21;s9_bsl_tight;s12_in_ote;s4;s6x1
300627.SZ,20240830,EVENT,5.9623,22.721,18.304,0.1155,s17;s4;s5;s6x1;s14
300801.SZ,20240830,EVENT,-4.4455,14.244,11.938,0.275,s17;s4;s14
002627.SZ,20240812,EVENT,-2.029,5.057,4.249,0.0072,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s9_bsl_tight;s12_in_ote;s6x1;s14
