symbol,entry_date,src,net_pnl_pct,pnl,structure_state,trend_v2,breakout_kind_v2,retrace_state_v2
002859.SZ,20240129,EVENT,-3.7899,-3.7899,bear(LH+LL),down,BOS↓,no_retrace
300148.SZ,20240129,EVENT,-5.783,-5.783,bear(LH+LL),down,BOS↓,retrace_ok
603727.SH,20240129,EVENT,-3.8327,-3.8327,bear(LH+LL),down,BOS↓,retrace_fail
301265.SZ,20240130,EVENT,-6.9422,-6.9422,expansion(HH+LL),down,BOS↓,retrace_ok
001256.SZ,20240131,EVENT,-6.6015,-6.6015,bear(LH+LL),down,BOS↓,no_retrace
002148.SZ,20240131,EVENT,-6.3099,-6.3099,bear(LH+LL),down,BOS↓,retrace_ok
600572.SH,20240131,EVENT,-8.8383,-8.8383,bear(LH+LL),down,BOS↓,no_retrace
300515.SZ,20240102,EVENT,-0.5667,-0.5667,bull(HH+HL),down,BOS↓,retrace_ok
688093.SH,20240102,EVENT,-8.0492,-8.0492,bear(LH+LL),down,CHoCH↓,retrace_fail
300097.SZ,20240104,EVENT,-8.4106,-8.4106,bear(LH+LL),down,CHoCH↓,no_retrace
603156.SH,20240104,EVENT,7.0665,7.0665,expansion(HH+LL),down,BOS↓,no_retrace
688093.SH,20240104,EVENT,-9.5995,-9.5995,bear(LH+LL),down,CHoCH↓,retrace_fail
002385.SZ,20240105,EVENT,-2.2659,-2.2659,bear(LH+LL),down,CHoCH↓,no_retrace
600433.SH,20240105,EVENT,-6.5504,-6.5504,bear(LH+LL),down,BOS↓,retrace_fail
603156.SH,20240108,EVENT,0.9989,0.9989,expansion(HH+LL),down,BOS↓,no_retrace
603258.SH,20240108,EVENT,-12.006,-12.006,expansion(HH+LL),down,CHoCH↓,no_retrace
603888.SH,20240108,EVENT,-4.4324,-4.4324,expansion(HH+LL),down,CHoCH↓,retrace_ok
300943.SZ,20240110,EVENT,0.5966,0.5966,expansion(HH+LL),up,CHoCH↑,retrace_fail
301201.SZ,20240110,EVENT,-0.4318,-0.4318,bear(LH+LL),down,BOS↓,retrace_ok
000498.SZ,20240115,EVENT,-1.1433,-1.1433,bear(LH+LL),down,BOS↓,retrace_ok
300699.SZ,20240115,EVENT,-15.5158,-15.5158,expansion(HH+LL),up,CHoCH↑,retrace_fail
688326.SH,20240115,EVENT,-1.9777,-1.9777,bear(LH+LL),down,BOS↓,no_retrace
688819.SH,20240117,EVENT,-6.869,-6.869,bear(LH+LL),down,BOS↓,retrace_fail
002555.SZ,20240119,EVENT,-8.5328,-8.5328,bear(LH+LL),down,CHoCH↓,no_retrace
600487.SH,20240122,EVENT,-4.3172,-4.3172,bear(LH+LL),down,BOS↓,retrace_ok
000661.SZ,20240124,EVENT,-2.0054,-2.0054,bear(LH+LL),down,BOS↓,no_retrace
300126.SZ,20240130,EVENT,-8.2385,-8.2385,expansion(HH+LL),down,CHoCH↓,no_retrace
002166.SZ,20240131,EVENT,-4.6405,-4.6405,bear(LH+LL),down,BOS↓,retrace_ok
300888.SZ,20240131,EVENT,-10.8532,-10.8532,expansion(HH+LL),down,CHoCH↓,retrace_ok
601600.SH,20240131,EVENT,-0.5276,-0.5276,bear(LH+LL),up,CHoCH↑,retrace_ok
688508.SH,20240131,EVENT,-4.3168,-4.3168,bear(LH+LL),down,BOS↓,no_retrace
603977_SH.SH,20240109,CONT,-14.6161,-14.6161,bull(HH+HL),up,BOS↑,retrace_ok
002004.SZ,20240104,EVENT,-5.1924,-5.1924,compress(LH+HL),down,BOS↓,retrace_fail
000534.SZ,20240105,EVENT,-8.128,-8.128,compress(LH+HL),down,CHoCH↓,retrace_ok
688420.SH,20240105,EVENT,-8.8198,-8.8198,compress(LH+HL),down,BOS↓,retrace_fail
688093.SH,20240109,EVENT,-4.5996,-4.5996,bear(LH+LL),down,CHoCH↓,retrace_ok
002555.SZ,20240117,EVENT,-5.8955,-5.8955,bear(LH+LL),down,CHoCH↓,no_retrace
603727.SH,20240131,EVENT,-10.6743,-10.6743,bear(LH+LL),down,BOS↓,retrace_ok
002640.SZ,20240102,EVENT,-2.3567,-2.3567,expansion(HH+LL),down,CHoCH↓,retrace_ok
600623.SH,20240110,EVENT,-0.8113,-0.8113,expansion(HH+LL),down,BOS↓,retrace_fail
600803.SH,20240110,EVENT,2.4344,2.4344,compress(LH+HL),up,CHoCH↑,retrace_ok
688349.SH,20240206,EVENT,0.5238,0.5238,bear(LH+LL),down,BOS↓,no_retrace
002093.SZ,20240219,EVENT,12.5788,12.5788,bear(LH+LL),down,BOS↓,no_retrace
300685.SZ,20240219,EVENT,5.3305,5.3305,compress(LH+HL),down,BOS↓,retrace_ok
688068.SH,20240219,EVENT,2.7463,2.7463,bear(LH+LL),down,BOS↓,retrace_ok
688237.SH,20240223,EVENT,4.4082,4.4082,bear(LH+LL),down,BOS↓,retrace_ok
301353.SZ,20240227,EVENT,-2.5242,-2.5242,bear(LH+LL),down,BOS↓,no_retrace
301225.SZ,20240228,EVENT,-0.4749,-0.4749,bear(LH+LL),up,CHoCH↑,no_retrace
300835.SZ,20240201,EVENT,-3.4389,-3.4389,bear(LH+LL),down,BOS↓,no_retrace
002266.SZ,20240207,EVENT,7.4661,7.4661,bear(LH+LL),down,BOS↓,retrace_fail
300054.SZ,20240207,EVENT,9.4239,9.4239,bear(LH+LL),down,BOS↓,no_retrace
300171.SZ,20240207,EVENT,10.3431,10.3431,bear(LH+LL),down,BOS↓,retrace_ok
300285.SZ,20240207,EVENT,1.6283,1.6283,bear(LH+LL),down,BOS↓,retrace_fail
002008.SZ,20240208,EVENT,0.174,0.174,bear(LH+LL),down,BOS↓,retrace_fail
300910.SZ,20240208,EVENT,-1.6818,-1.6818,bear(LH+LL),down,BOS↓,retrace_fail
