symbol,entry_date,src,net_pnl_pct,resonance_break,resonance_side,breakout_price,breakout_date
688543.SH,20240229,EVENT,8.3346,False,,23.085,20240131
002373.SZ,20240201,EVENT,-2.5872,False,,10.598,20240108
300702.SZ,20240201,EVENT,-1.551,False,,16.41,20240131
600572.SH,20240201,EVENT,-6.5235,False,,4.428,20240110
300997.SZ,20240202,EVENT,-7.4224,False,,10.778,20240130
600989.SH,20240202,EVENT,-1.4112,False,,12.01,20240131
688383.SH,20240202,EVENT,-10.6011,False,,95.813,20240108
000878.SZ,20240207,EVENT,6.3051,False,,10.23,20240119
002506.SZ,20240207,EVENT,13.4187,False,,2.39,20240202
688333.SH,20240207,EVENT,16.243,False,,51.718,20240131
002274.SZ,20240208,EVENT,10.6907,False,,6.77,20240205
002402.SZ,20240208,EVENT,10.7276,False,,10.652,20240130
002683.SZ,20240208,EVENT,0.4322,False,,14.564,20240131
002895.SZ,20240208,EVENT,10.8289,False,,11.641,20240131
002925.SZ,20240208,EVENT,9.5865,False,,13.702,20240130
300138.SZ,20240208,EVENT,4.4358,False,,10.57,20240131
300233.SZ,20240208,EVENT,17.7355,False,,12.39,20240131
600536.SH,20240208,EVENT,22.2589,False,,25.42,20240205
000818.SZ,20240219,EVENT,0.715,False,,24.13,20240131
300128.SZ,20240219,EVENT,0.7783,False,,3.93,20240207
300664.SZ,20240219,EVENT,-2.852,False,,4.42,20240201
603416.SH,20240219,EVENT,-1.0686,False,,24.575,20240130
605183.SH,20240219,EVENT,6.4054,False,,11.297,20240130
300035.SZ,20240220,EVENT,7.5293,False,,7.598,20240130
300395.SZ,20240220,EVENT,7.8138,False,,25.981,20240130
301370.SZ,20240220,EVENT,6.2487,False,,12.709,20240202
603067.SH,20240220,EVENT,2.7161,False,,5.675,20240131
688166.SH,20240220,EVENT,15.569,False,,25.652,20240130
002402.SZ,20240221,EVENT,4.3347,False,,10.652,20240130
002457.SZ,20240221,EVENT,0.3094,False,,6.725,20240131
002820.SZ,20240221,EVENT,8.869,False,,8.864,20240131
300054.SZ,20240221,EVENT,3.8618,False,,19.3,20240207
300656.SZ,20240221,EVENT,1.7421,False,,18.77,20240205
301063.SZ,20240221,EVENT,20.6775,False,,17.152,20240130
301206.SZ,20240221,EVENT,-2.8978,False,,22.542,20240130
301317.SZ,20240221,EVENT,24.6896,False,,14.505,20240131
301335.SZ,20240221,EVENT,10.3673,False,,17.628,20240131
600212.SH,20240221,EVENT,13.5845,False,,6.68,20240122
603111.SH,20240221,EVENT,27.3513,False,,4.126,20240131
603166.SH,20240221,EVENT,9.046,False,,5.31,20240131
603324.SH,20240221,EVENT,4.288,False,,21.03,20240131
688237.SH,20240221,EVENT,7.8564,False,,26.534,20240131
688255.SH,20240221,EVENT,21.0842,False,,17.196,20240131
688291.SH,20240221,EVENT,16.0495,False,,20.637,20240130
688435.SH,20240221,EVENT,23.8779,False,,35.1,20240131
688478.SH,20240221,EVENT,3.91,False,,46.684,20240103
688498.SH,20240221,EVENT,20.8127,False,,89.331,20240129
001205.SZ,20240222,EVENT,6.9331,False,,14.2,20240131
003019.SZ,20240222,EVENT,5.7335,False,,15.076,20240131
300162.SZ,20240222,EVENT,11.4617,False,,5.96,20240130
300642.SZ,20240222,EVENT,1.7279,False,,13.685,20240131
300643.SZ,20240222,EVENT,9.3845,False,,9.282,20240131
300978.SZ,20240222,EVENT,10.3234,False,,10.04,20240130
301065.SZ,20240222,EVENT,6.8142,False,,17.396,20240131
301280.SZ,20240222,EVENT,25.5601,False,,14.741,20240130
600080.SH,20240222,EVENT,18.8741,False,,6.312,20240131
600986.SH,20240222,EVENT,9.2804,False,,4.36,20240201
603008.SH,20240222,EVENT,11.5673,False,,14.22,20240131
603629.SH,20240222,EVENT,17.6311,False,,16.776,20240122
