symbol,entry_date,code,net_pnl_pct,reason,hold,mfe_r,mae_r,mfe_pct,mae_pct,ep,sl,tgt,risk_pct,rr_target,exit_px,rr_exit,signals,file
300071.SZ,20251104,300071,35.1732,TP_STRUCTURAL,11,1.7875106399442848,-0.04642884779076084,42.15328467153283,-1.0948905109489093,5.48,4.1877,7.41845,23.582116788321166,1.4999999999999996,7.41845,1.4999999999999991,W1_PROTECTED_LOW|扫损20250905|OB20251030|触POI20251031|收回20251103,300071_SZ_daily_750.json
603039.SH,20250205,603039,35.1251,TP_STRUCTURAL,8,1.5003271109206358,-0.0858767627869528,35.33279810375809,-2.022403180792909,52.314,39.994020000000006,70.79396999999999,23.5500630806285,1.4999999999999998,70.79396999999999,1.5000000000000002,W1_PROTECTED_LOW|扫损20231009|OB20250123|触POI20250124|收回20250127,603039_SH_daily_750.json
920089.BJ,20240930,920089,35.017,TP_STRUCTURAL,1,2.4409193913887974,0.8481709291032696,38.042381432896065,13.218970736629675,9.91,8.365499999999999,13.4,15.58526740665995,2.25963094852703,13.4,2.25963094852703,W1_PROTECTED_LOW|扫损20240725|OB20240925|触POI20240926|收回20240927,920089_BJ_daily_750.json
300795.SZ,20260729,300795,34.9454,TP_STRUCTURAL,11,1.552853723069169,-0.1732392591659317,36.38376383763837,-4.059040590405905,13.55,10.3752,18.312200000000004,23.430258302583034,1.5000000000000007,18.312200000000004,1.5000000000000007,W1_WEEKLY_SSL_CHOCH|扫损20260416|OB20260720|触POI20260727|收回20260728,300795_SZ_daily_750.json
300857.SZ,20240930,300857,34.9438,TP_STRUCTURAL,1,2.2671392405063298,1.1159493670886074,36.54825649732272,17.99007444168734,30.628,25.6905,38.03425,16.120869792346873,1.5,38.03425,1.5,W1_PROTECTED_LOW|扫损20240709|OB20240925|触POI20240926|收回20240927,300857_SZ_daily_750.json
603928.SH,20260630,603928,34.6997,TP_STRUCTURAL,8,1.5913146936347415,-0.4342653182629386,37.02422145328721,-10.103806228373703,14.45,11.088,19.493,23.26643598615917,1.4999999999999998,19.493,1.5,W1_PROTECTED_LOW|扫损20260618|OB20260625|触POI20260626|收回20260629,603928_SH_daily_750.json
300158.SZ,20250725,300158,34.6837,TP_STRUCTURAL,4,1.613333333333333,0.30666666666666703,37.51937984496123,7.131782945736442,6.45,4.95,8.7,23.25581395348837,1.4999999999999993,8.7,1.4999999999999998,W1_PROTECTED_LOW|扫损20240110|OB20250722|触POI20250723|收回20250724,300158_SZ_daily_750.json
600622.SH,20241016,600622,34.6554,TP_STRUCTURAL,9,1.8935381355932204,0.013241525423728386,43.99999999999999,0.3076923076922977,3.25,2.4948,4.3828,23.236923076923073,1.4999999999999998,4.3828,1.4999999999999996,W1_PROTECTED_LOW|扫损20240109|OB20241010|触POI20241011|收回20241015,600622_SH_daily_750.json
688631.SH,20240930,688631,34.6527,TP_STRUCTURAL,2,1.6246422678029049,1.1160447374504743,30.67891013096491,21.07481559536353,66.43,53.8857,85.24645000000001,18.88348637663707,1.4999999999999993,85.24645000000001,1.4999999999999998,W1_PROTECTED_LOW|扫损20240513|OB20240925|触POI20240926|收回20240927,688631_SH_daily_750.json
300769.SZ,20240925,300769,34.5756,TP_STRUCTURAL,3,1.667417079393668,-0.04802641452798987,38.656924147529594,-1.1134307585246916,28.74,22.077,38.7345,23.183716075156564,1.5000000000000004,38.7345,1.5000000000000007,W1_PROTECTED_LOW|扫损20240731|OB20240920|触POI20240923|收回20240924,300769_SZ_daily_750.json
