symbol,entry_date,exit_date,net_pnl_pct,reason,hold_bars,entry_price,exit_price,sl_price,tp1_price,rr_realized,mfe_r,mae_r,event_date,zone_date,event_type,poi_type,story,market_state,trend_regime,trend_reason,signal_type,v88_combo,v83_takeover_type,v85_reason,v85_path,mtf_score,weekly_state,daily_state,m60_state,risk_pct,entry_semantic,sample_class,t1_violation
000557.SZ,20260127,20260128,3.0944,RUNNER_TRAIL,1.0,5.035,5.1149,4.9551,5.1149,1.919,3.9424,-0.6884,20260122,20260127,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,RECOVERY,RECOVERY,BULL_CONTINUATION,1.5869,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000566.SZ,20240315,20240318,2.7356,RUNNER_TRAIL,1.0,3.71,3.7683,3.6517,3.83,1.712,2.916,0.8576,20240312,20240313,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,HH_HL_CLOSE_UP,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,BULL_CONTINUATION,1.5714,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000570.SZ,20250527,20250528,2.5267,RUNNER_TRAIL,1.0,5.523,5.6153,5.4307,5.658,1.4868,2.221,0.9209,20250516,20250515,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,BULL_CONTINUATION,MIXED,MIXED,1.6712,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000582.SZ,20230714,20230717,3.41,RUNNER_TRAIL,1.0,7.191,7.3016,7.0804,7.386,2.1834,5.3797,0.3165,20230710,20230712,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,RECOVERY,BULL_CONTINUATION,BEAR_RISK,1.538,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000582.SZ,20230714,20230718,3.41,RUNNER_TRAIL,2.0,7.191,7.3016,7.0804,7.386,2.1834,5.3797,0.3165,20230711,20230712,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,RECOVERY,BULL_CONTINUATION,BEAR_RISK,1.538,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000586.SZ,20251224,20251226,-1.7284,SL_HIT,2.0,14.175,13.93,13.93,14.64,-0.9827,1.1633,-1.0816,20251219,20251223,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,HH_HL_CLOSE_UP,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,RECOVERY,BULL_CONTINUATION,BEAR_RISK,1.7284,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000591.SZ,20241105,20241106,4.0241,RUNNER_TRAIL,1.0,4.939,5.0625,4.8155,5.154,1.5694,2.3077,0.7692,20241031,20241101,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,BULL_CONTINUATION,2.5005,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000619.SZ,20240514,20240515,2.734,RUNNER_TRAIL,1.0,5.0,5.0947,4.9053,5.12,1.4169,2.3231,-0.1056,20240509,20240513,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,MIXED,1.894,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000631.SZ,20250627,20250701,3.0071,RUNNER_TRAIL,2.0,2.955,2.9996,2.9104,3.005,1.9612,6.7265,0.0,20250624,20250626,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,DOWN_REVERSAL_REQUIRED,LH_LL_NEEDS_SSL_CHOCH,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,MIXED,1.5093,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000639.SZ,20230615,20230616,5.0833,RUNNER_TRAIL,1.0,4.2,4.305,4.095,4.33,1.9825,4.5714,-0.0952,20230612,20230613,SSL_SWEEP_CHOCH_REVERSAL,DEMAND_OB,DOWN_REVERSAL_SSL_SWEEP_CHOCH_PULLBACK_TO_POI_RECLAIM,MIXED,DOWN_REVERSAL_REQUIRED,LH_LL_NEEDS_SSL_CHOCH,SSL_SWEEP_CHOCH_REVERSAL,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,2,MIXED,RECOVERY,BEAR_RISK,2.5,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000639.SZ,20260312,20260316,10.5634,RUNNER_TRAIL,2.0,2.84,2.8841,2.7959,3.14,6.7048,8.8435,-0.907,20260309,20260312,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,RECOVERY,MIXED,RECOVERY,1.5528,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000680.SZ,20250812,20250814,-1.6501,SL_HIT,2.0,9.951,9.7868,9.7868,10.266,-0.9836,0.335,-1.7357,20250807,20250808,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BEAR_RISK,BULL_CONTINUATION,BULL_CONTINUATION,1.6501,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000727.SZ,20260109,20260112,3.8819,RUNNER_TRAIL,1.0,2.625,2.673,2.577,2.75,2.0863,2.6042,0.1042,20260106,20260107,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,RECOVERY,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,MIXED,BULL_CONTINUATION,BULL_CONTINUATION,1.8286,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000758.SZ,20241025,20241028,2.5148,RUNNER_TRAIL,1.0,4.889,4.9682,4.8098,5.014,1.5278,2.0833,0.4419,20241022,20241024,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,2,BULL_CONTINUATION,BULL_CONTINUATION,BEAR_RISK,1.62,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000759.SZ,20240314,20240315,2.5959,RUNNER_TRAIL,1.0,3.5,3.5673,3.4327,3.5673,1.325,2.8232,0.5944,20240311,20240313,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,MIXED,UP_CONTINUATION,V85_EXPANDED_BOS_PULLBACK,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NARROW_POI_HOLD_ABOVE_IN_MIXED,MIXED_ACCUMULATION_HOLD_ABOVE_POI,3,MIXED,BULL_CONTINUATION,BULL_CONTINUATION,1.9229,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000767.SZ,20251104,20251105,3.4424,RUNNER_TRAIL,1.0,2.975,3.0247,2.9253,3.1,2.0261,2.5151,0.1006,20251030,20251031,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,ACCUMULATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,1,BEAR_RISK,BULL_CONTINUATION,BEAR_RISK,1.6706,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
000767.SZ,20260119,20260120,3.3918,RUNNER_TRAIL,1.0,2.92,2.9644,2.8756,3.0,2.1942,3.3784,0.4505,20260114,20260115,BOS_CONTINUATION,DEMAND_OB,UP_CONTINUATION_BOS_PULLBACK_TO_POI_RECLAIM,BULL_CONTINUATION,UP_CONTINUATION,HH_HL_CLOSE_UP,BOS_CONTINUATION,zone_limit|hybrid_tight|liq_then_2r_runner,HOLD_ABOVE_POI,NOT_MIXED,CONTINUATION_EXPANDED_HOLD_ABOVE_POI,3,BULL_CONTINUATION,BULL_CONTINUATION,BULL_CONTINUATION,1.5205,NEXT_OPEN_AFTER_POI_RECLAIM,PRODUCTION_CLEAN,False
